Model,Feature_Set,Target,Accuracy,Precision,Recall,F1_Score,Train_Samples,Test_Samples,Trained_Model,Class_Report
Logistic Regression,All_Features,Expression,0.7834645669291339,0.783752145983838,0.7834645669291339,0.783181753120644,22348,5588,"LogisticRegression(max_iter=3000, random_state=42)","{'0': {'precision': 0.7123655913978495, 'recall': 0.6206088992974239, 'f1-score': 0.6633291614518148, 'support': 427.0}, '1': {'precision': 0.7908163265306123, 'recall': 0.7868020304568528, 'f1-score': 0.7888040712468194, 'support': 788.0}, '2': {'precision': 0.8697183098591549, 'recall': 0.8790035587188612, 'f1-score': 0.8743362831858407, 'support': 562.0}, '3': {'precision': 0.7513812154696132, 'recall': 0.7418181818181818, 'f1-score': 0.7465690759377859, 'support': 550.0}, '4': {'precision': 0.791907514450867, 'recall': 0.7597042513863216, 'f1-score': 0.7754716981132076, 'support': 541.0}, '5': {'precision': 0.7236693091732729, 'recall': 0.7544273907910272, 'f1-score': 0.738728323699422, 'support': 847.0}, '6': {'precision': 0.7072538860103627, 'recall': 0.7541436464088398, 'f1-score': 0.7299465240641712, 'support': 724.0}, '7': {'precision': 0.8846153846153846, 'recall': 0.8795411089866156, 'f1-score': 0.8820709491850431, 'support': 523.0}, '8': {'precision': 0.8532695374800638, 'recall': 0.854632587859425, 'f1-score': 0.8539505187549881, 'support': 626.0}, 'accuracy': 0.7834645669291339, 'macro avg': {'precision': 0.7872218972207979, 'recall': 0.7811868506359498, 'f1-score': 0.783689622848788, 'support': 5588.0}, 'weighted avg': {'precision': 0.783752145983838, 'recall': 0.7834645669291339, 'f1-score': 0.783181753120644, 'support': 5588.0}}"
Logistic Regression,PCA_75,Expression,0.7482104509663565,0.7477870738632261,0.7482104509663565,0.747261623819615,22348,5588,"LogisticRegression(max_iter=3000, random_state=42)","{'0': {'precision': 0.6822157434402333, 'recall': 0.5480093676814989, 'f1-score': 0.6077922077922078, 'support': 427.0}, '1': {'precision': 0.7151741293532339, 'recall': 0.7296954314720813, 'f1-score': 0.7223618090452262, 'support': 788.0}, '2': {'precision': 0.8421985815602837, 'recall': 0.8451957295373665, 'f1-score': 0.8436944937833037, 'support': 562.0}, '3': {'precision': 0.7145454545454546, 'recall': 0.7145454545454546, 'f1-score': 0.7145454545454546, 'support': 550.0}, '4': {'precision': 0.7587548638132295, 'recall': 0.7208872458410351, 'f1-score': 0.7393364928909952, 'support': 541.0}, '5': {'precision': 0.6958997722095672, 'recall': 0.7213695395513577, 'f1-score': 0.7084057971014492, 'support': 847.0}, '6': {'precision': 0.681045751633987, 'recall': 0.7196132596685083, 'f1-score': 0.699798522498321, 'support': 724.0}, '7': {'precision': 0.8503787878787878, 'recall': 0.858508604206501, 'f1-score': 0.8544243577545195, 'support': 523.0}, '8': {'precision': 0.8302180685358256, 'recall': 0.8514376996805112, 'f1-score': 0.8406940063091483, 'support': 626.0}, 'accuracy': 0.7482104509663565, 'macro avg': {'precision': 0.7522701281078448, 'recall': 0.7454735924649238, 'f1-score': 0.7478947935245139, 'support': 5588.0}, 'weighted avg': {'precision': 0.7477870738632261, 'recall': 0.7482104509663565, 'f1-score': 0.747261623819615, 'support': 5588.0}}"
Logistic Regression,KBest_100,Expression,0.6290264853256979,0.6330869618505247,0.6290264853256979,0.6264785857207168,22348,5588,"LogisticRegression(max_iter=3000, random_state=42)","{'0': {'precision': 0.6447368421052632, 'recall': 0.3442622950819672, 'f1-score': 0.4488549618320611, 'support': 427.0}, '1': {'precision': 0.6478696741854637, 'recall': 0.6560913705583756, 'f1-score': 0.6519546027742749, 'support': 788.0}, '2': {'precision': 0.8240574506283662, 'recall': 0.8167259786476868, 'f1-score': 0.8203753351206434, 'support': 562.0}, '3': {'precision': 0.6277227722772277, 'recall': 0.5763636363636364, 'f1-score': 0.6009478672985782, 'support': 550.0}, '4': {'precision': 0.6360225140712945, 'recall': 0.6266173752310537, 'f1-score': 0.6312849162011173, 'support': 541.0}, '5': {'precision': 0.5378531073446328, 'recall': 0.5619834710743802, 'f1-score': 0.5496535796766744, 'support': 847.0}, '6': {'precision': 0.5211111111111111, 'recall': 0.6477900552486188, 'f1-score': 0.5775862068965517, 'support': 724.0}, '7': {'precision': 0.7992700729927007, 'recall': 0.8374760994263862, 'f1-score': 0.8179271708683473, 'support': 523.0}, '8': {'precision': 0.556782334384858, 'recall': 0.5638977635782748, 'f1-score': 0.5603174603174603, 'support': 626.0}, 'accuracy': 0.6290264853256979, 'macro avg': {'precision': 0.6439362087889908, 'recall': 0.6256897828011534, 'f1-score': 0.6287669001095231, 'support': 5588.0}, 'weighted avg': {'precision': 0.6330869618505247, 'recall': 0.6290264853256979, 'f1-score': 0.6264785857207168, 'support': 5588.0}}"
Logistic Regression,All_Features,Label,0.8367931281317108,0.8178016726403823,0.6928137651821862,0.7501369863013698,22348,5588,"LogisticRegression(max_iter=3000, random_state=42)","{'0': {'precision': 0.8449156872764435, 'recall': 0.9155592469545958, 'f1-score': 0.8788200903534414, 'support': 3612.0}, '1': {'precision': 0.8178016726403823, 'recall': 0.6928137651821862, 'f1-score': 0.7501369863013698, 'support': 1976.0}, 'accuracy': 0.8367931281317108, 'macro avg': {'precision': 0.831358679958413, 'recall': 0.804186506068391, 'f1-score': 0.8144785383274056, 'support': 5588.0}, 'weighted avg': {'precision': 0.8353277679992679, 'recall': 0.8367931281317108, 'f1-score': 0.8333158287917211, 'support': 5588.0}}"
Logistic Regression,PCA_75,Label,0.8117394416607016,0.7938931297709924,0.631578947368421,0.7034949267192785,22348,5588,"LogisticRegression(max_iter=3000, random_state=42)","{'0': {'precision': 0.8187250996015937, 'recall': 0.9102990033222591, 'f1-score': 0.8620870477189303, 'support': 3612.0}, '1': {'precision': 0.7938931297709924, 'recall': 0.631578947368421, 'f1-score': 0.7034949267192785, 'support': 1976.0}, 'accuracy': 0.8117394416607016, 'macro avg': {'precision': 0.8063091146862931, 'recall': 0.7709389753453401, 'f1-score': 0.7827909872191043, 'support': 5588.0}, 'weighted avg': {'precision': 0.8099441453451034, 'recall': 0.8117394416607016, 'f1-score': 0.8060065124477579, 'support': 5588.0}}"
Logistic Regression,KBest_100,Label,0.8065497494631353,0.7969475779694758,0.6077935222672065,0.6896353718059144,22348,5588,"LogisticRegression(max_iter=3000, random_state=42)","{'0': {'precision': 0.810095564812546, 'recall': 0.915282392026578, 'f1-score': 0.8594826465618094, 'support': 3612.0}, '1': {'precision': 0.7969475779694758, 'recall': 0.6077935222672065, 'f1-score': 0.6896353718059144, 'support': 1976.0}, 'accuracy': 0.8065497494631353, 'macro avg': {'precision': 0.8035215713910109, 'recall': 0.7615379571468923, 'f1-score': 0.7745590091838619, 'support': 5588.0}, 'weighted avg': {'precision': 0.8054462409038298, 'recall': 0.8065497494631353, 'f1-score': 0.7994221213439051, 'support': 5588.0}}"
K-Nearest Neighbors,All_Features,Expression,0.9405869720830351,0.9409846920521103,0.9405869720830351,0.9405439357485599,22348,5588,KNeighborsClassifier(),"{'0': {'precision': 0.8817204301075269, 'recall': 0.9601873536299765, 'f1-score': 0.9192825112107623, 'support': 427.0}, '1': {'precision': 0.9399477806788512, 'recall': 0.9137055837563451, 'f1-score': 0.9266409266409267, 'support': 788.0}, '2': {'precision': 0.9419795221843004, 'recall': 0.9822064056939501, 'f1-score': 0.9616724738675958, 'support': 562.0}, '3': {'precision': 0.9423791821561338, 'recall': 0.9218181818181819, 'f1-score': 0.9319852941176471, 'support': 550.0}, '4': {'precision': 0.9375, 'recall': 0.9149722735674677, 'f1-score': 0.9260991580916744, 'support': 541.0}, '5': {'precision': 0.9316037735849056, 'recall': 0.9327036599763873, 'f1-score': 0.9321533923303835, 'support': 847.0}, '6': {'precision': 0.9326788218793829, 'recall': 0.9185082872928176, 'f1-score': 0.9255393180236604, 'support': 724.0}, '7': {'precision': 0.9792452830188679, 'recall': 0.9923518164435946, 'f1-score': 0.9857549857549858, 'support': 523.0}, '8': {'precision': 0.9739413680781759, 'recall': 0.9552715654952076, 'f1-score': 0.964516129032258, 'support': 626.0}, 'accuracy': 0.9405869720830351, 'macro avg': {'precision': 0.940110684632016, 'recall': 0.9435250141859921, 'f1-score': 0.941516021007766, 'support': 5588.0}, 'weighted avg': {'precision': 0.9409846920521103, 'recall': 0.9405869720830351, 'f1-score': 0.9405439357485599, 'support': 5588.0}}"
K-Nearest Neighbors,PCA_75,Expression,0.9418396564065855,0.9421797720536265,0.9418396564065855,0.9418074696577253,22348,5588,KNeighborsClassifier(),"{'0': {'precision': 0.8876889848812095, 'recall': 0.9625292740046838, 'f1-score': 0.9235955056179775, 'support': 427.0}, '1': {'precision': 0.9412532637075718, 'recall': 0.9149746192893401, 'f1-score': 0.9279279279279279, 'support': 788.0}, '2': {'precision': 0.9432989690721649, 'recall': 0.9768683274021353, 'f1-score': 0.9597902097902098, 'support': 562.0}, '3': {'precision': 0.9375, 'recall': 0.9272727272727272, 'f1-score': 0.9323583180987203, 'support': 550.0}, '4': {'precision': 0.9377358490566038, 'recall': 0.9186691312384473, 'f1-score': 0.9281045751633987, 'support': 541.0}, '5': {'precision': 0.933806146572104, 'recall': 0.9327036599763873, 'f1-score': 0.9332545776727702, 'support': 847.0}, '6': {'precision': 0.938288920056101, 'recall': 0.9240331491712708, 'f1-score': 0.9311064718162839, 'support': 724.0}, '7': {'precision': 0.9792060491493384, 'recall': 0.9904397705544933, 'f1-score': 0.9847908745247148, 'support': 523.0}, '8': {'precision': 0.9723577235772358, 'recall': 0.9552715654952076, 'f1-score': 0.9637389202256245, 'support': 626.0}, 'accuracy': 0.9418396564065855, 'macro avg': {'precision': 0.9412373228969254, 'recall': 0.944751358267188, 'f1-score': 0.9427408200930698, 'support': 5588.0}, 'weighted avg': {'precision': 0.9421797720536265, 'recall': 0.9418396564065855, 'f1-score': 0.9418074696577253, 'support': 5588.0}}"
K-Nearest Neighbors,KBest_100,Expression,0.9021116678596993,0.9037668047297608,0.9021116678596993,0.9021413471846137,22348,5588,KNeighborsClassifier(),"{'0': {'precision': 0.7784552845528455, 'recall': 0.8969555035128806, 'f1-score': 0.8335146898803046, 'support': 427.0}, '1': {'precision': 0.9276595744680851, 'recall': 0.8299492385786802, 'f1-score': 0.8760884125920965, 'support': 788.0}, '2': {'precision': 0.9389179755671903, 'recall': 0.9572953736654805, 'f1-score': 0.9480176211453745, 'support': 562.0}, '3': {'precision': 0.8780487804878049, 'recall': 0.9163636363636364, 'f1-score': 0.896797153024911, 'support': 550.0}, '4': {'precision': 0.9049429657794676, 'recall': 0.8798521256931608, 'f1-score': 0.8922211808809747, 'support': 541.0}, '5': {'precision': 0.9021479713603818, 'recall': 0.8925619834710744, 'f1-score': 0.8973293768545995, 'support': 847.0}, '6': {'precision': 0.8832630098452883, 'recall': 0.8674033149171271, 'f1-score': 0.8752613240418119, 'support': 724.0}, '7': {'precision': 0.9625468164794008, 'recall': 0.982791586998088, 'f1-score': 0.9725638599810785, 'support': 523.0}, '8': {'precision': 0.925984251968504, 'recall': 0.939297124600639, 'f1-score': 0.9325931800158604, 'support': 626.0}, 'accuracy': 0.9021116678596993, 'macro avg': {'precision': 0.9002185145009965, 'recall': 0.9069410986445298, 'f1-score': 0.9027096442685569, 'support': 5588.0}, 'weighted avg': {'precision': 0.9037668047297608, 'recall': 0.9021116678596993, 'f1-score': 0.9021413471846137, 'support': 5588.0}}"
K-Nearest Neighbors,All_Features,Label,0.9090909090909091,0.906423034330011,0.8284412955465587,0.8656795346377578,22348,5588,KNeighborsClassifier(),"{'0': {'precision': 0.9103648863035431, 'recall': 0.9532115171650055, 'f1-score': 0.9312956451176629, 'support': 3612.0}, '1': {'precision': 0.906423034330011, 'recall': 0.8284412955465587, 'f1-score': 0.8656795346377578, 'support': 1976.0}, 'accuracy': 0.9090909090909091, 'macro avg': {'precision': 0.908393960316777, 'recall': 0.890826406355782, 'f1-score': 0.8984875898777104, 'support': 5588.0}, 'weighted avg': {'precision': 0.908970988755279, 'recall': 0.9090909090909091, 'f1-score': 0.9080928114905525, 'support': 5588.0}}"
K-Nearest Neighbors,PCA_75,Label,0.908554044380816,0.9040264754550469,0.8294534412955465,0.8651359197677487,22348,5588,KNeighborsClassifier(),"{'0': {'precision': 0.9107284768211921, 'recall': 0.9518272425249169, 'f1-score': 0.9308244212806281, 'support': 3612.0}, '1': {'precision': 0.9040264754550469, 'recall': 0.8294534412955465, 'f1-score': 0.8651359197677487, 'support': 1976.0}, 'accuracy': 0.908554044380816, 'macro avg': {'precision': 0.9073774761381195, 'recall': 0.8906403419102318, 'f1-score': 0.8979801705241884, 'support': 5588.0}, 'weighted avg': {'precision': 0.9083585493517033, 'recall': 0.908554044380816, 'f1-score': 0.9075959891064246, 'support': 5588.0}}"
